,January,February,March,April,All
0,67021,158042,152909,190604,568576
1,51530,149410,138965,157853,497758
2,24959,83809,103996,107397,320161
3,24835,76280,85812,104530,291457
4,22591,66801,85024,102506,276922
5,21575,58295,79496,101382,260748
6,17421,56639,72279,97178,243517
7,16961,39742,39124,95012,190839
8,15570,37087,38838,51879,143374
9,15330,35415,37591,51674,140010
10,13611,33510,35988,46037,129146
11,11924,30583,35361,45706,123574
12,11351,28747,32930,40803,113831
13,10554,26622,32754,40545,110475
14,10042,26480,30907,38748,106177
15,9768,25680,28415,38190,102053
16,8684,25422,28160,35096,97362
17,8477,24455,23738,25572,82242
18,8466,24302,17896,23374,74038
19,7978,23077,14648,17815,63518
