,Passengers_P,Passengers,Company
2,20.71%,"232,229",EL AL ISRAEL AIRLINES
3,11.15%,"125,106",RYANAIR
4,7.32%,"82,150",TURKISH AIRLINES
5,5.63%,"63,171",PEGASUS AIRLINES
6,5.43%,"60,888",EASYJET
7,4.82%,"54,107",UNITED AIRLINES
8,3.93%,"44,143",ISRAIR AIRLINES
9,3.80%,"42,706",LUFTHANSA
10,3.76%,"42,162",WIZZAIR
11,3.32%,"37,307",FLYDUBAI
12,2.42%,"27,161",AMERICAN AIRLINES
13,2.41%,"27,100",UKRAINE INTL  AIR
14,1.99%,"22,415",DELTA AIRLINES
15,1.81%,"20,383",TRANSAVIA FRANCE
16,1.58%,"17,738",AIR FRANCE
17,1.55%,"17,410","AEROFLOT RUSSIANAIRLINES"
18,1.49%,"16,811",SWISS INT`L  AIRLINES
19,1.47%,"16,530",ARKIA  ISRAELI  AIRLINES
20,1.22%,"13,789",K.L.M.
21,1.02%,"11,456",IBERIA
22,0.94%,"10,558",AEGEAN  AIRLINES
2,0.87%,"9,836",ETHIOPIAN AIRLINES
3,0.81%,"9,155",GEORGIAN AIRWAYS
4,0.72%,"8,089",LOT POLISH AIRLINES
5,0.71%,"7,965",AUSTRIAN AIRLINES
6,0.68%,"7,668",BRITISH AIRWAYS PLC
7,0.66%,"7,443",SMARTWINGS
8,0.65%,"7,359","AIR EUROPA LineasAereas"
9,0.50%,"5,622",TUS AIRWAYS
10,0.49%,"5,590",ETIHAD AIRWAYS
11,0.48%,"5,460",SKYUP AIRLINES
12,0.45%,"5,150","VIRGIN ATLANTICAIRWAYS"
13,0.41%,"4,707","TAROM - RUMANIAN AIRTRAN"
14,0.34%,"3,921",BULGARIA  AIR
15,0.31%,"3,510",AIR MOLDOVA
16,0.31%,"3,500",ROYAL  JORDANIAN
17,0.28%,"3,209",AIR INDIA
18,0.28%,"3,150",WIZZ AIR ABU DHABI
19,0.27%,"3,126",BELAVIA AIRLINE
20,0.24%,"2,755",EGYPTAIR AIRLINES
21,0.23%,"2,668",TRANSAVIA
22,0.23%,"2,637",BRUSSELS AIRLINES
2,0.20%,"2,317","ITALIA TRASPORTOAEREO"
3,0.18%,"2,123",CORONDON AIRLINES
4,0.16%,"1,886",UZBEKISTAN AIR
5,0.15%,"1,764",GULF AIR - BAHREIN
6,0.15%,"1,701",AZERBAIJAN AIRLINES
7,0.12%,"1,371",ROSSIYA AIRLINES
8,0.11%,"1,266",FINNAIR
9,0.10%,"1,215",FLYONE
10,0.10%,"1,205",AIR PORTUGAL
11,0.10%,"1,130",AIR SEYCHELLES
12,0.09%,"1,053",FREEBIRD AIRLINES
13,0.07%,833,NORD WIND
14,0.06%,748,TAILWIND AIRLINES
15,0.02%,334,VUELING AIRLINES S.A.
16,0.02%,318,BLUE BIRD AIRWAYS
17,0.02%,288,AERO HANDLING
18,0.02%,271,AIR BALTIC
19,0.01%,199,USA AIR FORCE
20,,110,"WIND ROSE AVIATION Co.Lt"
21,,100,CZECH A/F
22,0.28%,"3,195",
