,Passengers_P,Passengers,Company
2,22.35%,"522,179",EL AL ISRAEL AIRLINES
3,10.81%,"252,758",RYANAIR
4,7.12%,"166,446",TURKISH AIRLINES
5,5.76%,"134,616",EASYJET
6,5.19%,"121,366",PEGASUS AIRLINES
7,4.42%,"103,450",UNITED AIRLINES
8,4.00%,"93,656",WIZZAIR
9,3.97%,"92,810",ISRAIR AIRLINES
10,3.71%,"86,709",LUFTHANSA
11,2.86%,"66,928",FLYDUBAI
12,2.17%,"50,880",ARKIA  ISRAELI  AIRLINES
13,2.05%,"47,940",AMERICAN AIRLINES
14,1.99%,"46,561",TRANSAVIA FRANCE
15,1.62%,"37,936",DELTA AIRLINES
16,1.47%,"34,389",SWISS INT`L  AIRLINES
17,1.46%,"34,150",AIR FRANCE
18,1.16%,"27,100",UKRAINE INTL  AIR
19,1.02%,"24,024",K.L.M.
20,1.00%,"23,584",AEGEAN  AIRLINES
21,0.98%,"23,112",IBERIA
22,0.91%,"21,490",BRITISH AIRWAYS PLC
2,0.88%,"20,575",LOT POLISH AIRLINES
3,0.87%,"20,411","AEROFLOT RUSSIANAIRLINES"
4,0.86%,"20,283",AUSTRIAN AIRLINES
5,0.78%,"18,435",ETHIOPIAN AIRLINES
6,0.65%,"15,349",SMARTWINGS
7,0.63%,"14,734",GEORGIAN AIRWAYS
8,0.61%,"14,325","TAROM - RUMANIAN AIRTRAN"
9,0.61%,"14,311","AIR EUROPA LineasAereas"
10,0.60%,"14,230",TUS AIRWAYS
11,0.57%,"13,462","VIRGIN ATLANTICAIRWAYS"
12,0.44%,"10,492",ETIHAD AIRWAYS
13,0.43%,"10,234",WIZZ AIR ABU DHABI
14,0.39%,"9,213","ITALIA TRASPORTOAEREO"
15,0.33%,"7,914",SKYUP AIRLINES
16,0.33%,"7,820",BULGARIA  AIR
17,0.31%,"7,249",CORONDON AIRLINES
18,0.30%,"7,135",TRANSAVIA
19,0.29%,"6,887",AIR INDIA
20,0.28%,"6,590",BRUSSELS AIRLINES
21,0.26%,"6,154",BLUE BIRD AIRWAYS
22,0.25%,"5,955",AIR CANADA
2,0.24%,"5,738",TAILWIND AIRLINES
3,0.24%,"5,684",AIR PORTUGAL
4,0.23%,"5,503",AIR MOLDOVA
5,0.22%,"5,366",EGYPTAIR AIRLINES
6,0.19%,"4,486",GULF AIR - BAHREIN
7,0.18%,"4,383",ROYAL  JORDANIAN
8,0.16%,"3,794",FINNAIR
9,0.16%,"3,764",ENTER AIR
10,0.15%,"3,722",AIR SEYCHELLES
11,0.14%,"3,373",UZBEKISTAN AIR
12,0.13%,"3,201",BELAVIA AIRLINE
13,0.13%,"3,195",AZERBAIJAN AIRLINES
14,0.10%,"2,397",ROYAL AIR MAROC
15,0.07%,"1,674",VUELING AIRLINES S.A.
16,0.06%,"1,570",ROSSIYA AIRLINES
17,0.05%,"1,351",FLYONE
18,0.04%,"1,078",NORD WIND
19,0.04%,"1,053",FREEBIRD AIRLINES
20,0.04%,"1,013","NORWEGIAN AIRSHUTTLE"
21,0.03%,856,AIR BALTIC
22,0.03%,779,EUROPEAN AIR CHARTER
