,Passengers Last-Y %,Passengers Last-Y,Passengers_P,Passengers,Country
1,23.74%,"20,703",15.94%,"67,021",UNITED STATES
2,19.15%,"16,702",12.25%,"51,530",TURKEY
3,9.50%,"8,288",5.93%,"24,959",FRANCE
4,7.07%,"6,170",5.90%,"24,835",UKRAINE
5,4.92%,"4,295",5.37%,"22,591",GERMANY
6,11.26%,"9,822",5.13%,"21,575",UNITED ARAB EMIRATES
7,0.26%,235,4.14%,"17,421",ITALY
8,0.05%,51,4.03%,"16,961",GEORGIA
9,4.01%,"3,501",3.70%,"15,570",UNITED KINGDOM
10,1.73%,"1,511",3.64%,"15,330",AUSTRIA
11,3.15%,"2,748",3.23%,"13,611",RUSSIAN FEDERATION
12,0.02%,22,2.83%,"11,924",POLAND
13,0.47%,411,2.69%,"11,351",BULGARIA
14,0.64%,563,2.51%,"10,554",ROMANIA
15,0.73%,643,2.38%,"10,042",SWITZERLAND
16,0.24%,213,2.32%,"9,768",HUNGARY
17,0.51%,448,2.06%,"8,684",SPAIN
18,1.14%,998,2.01%,"8,477",NETHERLANDS
19,0.25%,224,2.01%,"8,466",CYPRUS
20,1.26%,"1,104",1.89%,"7,978",GREECE
21,0.02%,19,1.89%,"7,967",CZECH REPUBLIC
22,0.60%,525,1.72%,"7,243",THAILAND
2,3.57%,"3,114",0.96%,"4,075",ETHIOPIA
3,0.35%,310,0.96%,"4,066",BELGIUM
4,1.14%,996,0.69%,"2,902",MOLDOVA
5,0.23%,202,0.60%,"2,524",JORDAN
6,0.64%,565,0.45%,"1,910",BELARUS
7,0.78%,681,0.38%,"1,601",INDIA
8,1.02%,891,0.34%,"1,452",CANADA
9,0.09%,80,0.34%,"1,439",EGYPT
10,,,0.31%,"1,338",LITHUANIA
11,,5,0.28%,"1,196",PORTUGAL
12,,,0.26%,"1,117",AZERBAIJAN
13,,,0.25%,"1,057",UZBEKISTAN
14,,,0.18%,766,BAHRAIN
15,,,0.08%,376,MALTA
16,0.40%,352,0.07%,303,SEYCHELLES
17,,,0.06%,271,LATVIA
18,0.92%,804,0.04%,187,אחרים
19,,"87,196",,"420,438",סה''כ
