,Passengers_P,Passengers,Country
1,12.58%,"152,909",TURKEY
2,11.43%,"138,965",UNITED STATES
3,8.56%,"103,996",FRANCE
4,7.06%,"85,812",UNITED ARAB EMIRATES
5,6.99%,"85,024",ITALY
6,6.54%,"79,496",GERMANY
7,5.95%,"72,279",UNITED KINGDOM
8,3.22%,"39,124",SWITZERLAND
9,3.19%,"38,838",SPAIN
10,3.09%,"37,591",HUNGARY
11,2.96%,"35,988",GREECE
12,2.91%,"35,361",AUSTRIA
13,2.71%,"32,930",ROMANIA
14,2.69%,"32,754",NETHERLANDS
15,2.54%,"30,907",POLAND
16,2.33%,"28,415",CYPRUS
17,2.31%,"28,160",GEORGIA
18,1.95%,"23,738",BULGARIA
19,1.47%,"17,896",CZECH REPUBLIC
20,1.20%,"14,648",RUSSIAN FEDERATION
21,0.94%,"11,528",BELGIUM
22,0.90%,"11,040",MOROCCO
1,0.83%,"10,195",THAILAND
2,0.77%,"9,432",FINLAND
3,0.74%,"9,066",CANADA
4,0.71%,"8,636",ETHIOPIA
5,0.71%,"8,632",PORTUGAL
6,0.38%,"4,670",MOLDOVA
7,0.31%,"3,820",LITHUANIA
8,0.30%,"3,678",INDIA
9,0.22%,"2,743",BAHRAIN
10,0.22%,"2,697",EGYPT
11,0.21%,"2,592",SEYCHELLES
12,0.19%,"2,313",MALTA
13,0.15%,"1,842",SOUTH AFRICA
14,0.12%,"1,544",AZERBAIJAN
15,0.12%,"1,487",UZBEKISTAN
16,0.08%,"1,017",JORDAN
17,0.04%,599,LATVIA
18,0.04%,576,DENMARK
19,0.03%,449,SWEDEN
20,0.02%,336,TANZANIA
21,0.02%,311,CHINA
22,0.02%,245,SERBIA
2,0.01%,192,BOTSWANA
3,0.02%,263,
4,,"1,214,734",''
