,'',Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,,2021,2022,,,,
1,,"""",,"""",,,
2,,0.03%,156,0.30%,"11,754",ROYAL  JORDANIAN,RJ
3,,,,0.29%,"11,471",FREEBIRD AIRLINES,FH
4,,0.43%,"2,231",0.28%,"11,002",AIR INDIA,AI
5,,0.44%,"2,287",0.25%,"9,832",BULGARIA  AIR,FB
6,,0.55%,"2,892",0.23%,"9,234",AIR SEYCHELLES,HM
7,116.69%,0.74%,"3,834",0.21%,"8,308",AIR MOLDOVA,9U
8,,0.13%,684,0.20%,"8,134",SKYUP AIRLINES,PQ
9,,,,0.18%,"7,324",VUELING AIRLINES S.A.,VY
10,,,,0.18%,"7,232",ROYAL AIR MAROC,AT
11,,,,0.17%,"6,660",HESTON AIRLINES,HST
12,,,,0.16%,"6,611",FINNAIR,AY
13,,,,0.15%,"6,159",GULF AIR - BAHREIN,GF
14,,,,0.15%,"5,923","NORWEGIAN AIRSHUTTLE",D8
15,,0.01%,88,0.15%,"5,900",ENTER AIR,ENT
16,,,,0.14%,"5,821",AZERBAIJAN AIRLINES,J2
17,,,,0.14%,"5,570",UZBEKISTAN AIR,HY
18,,,,0.11%,"4,379",NEOS,NO
19,,0.05%,296,0.09%,"3,621",AIR BALTIC,BT
20,,,,0.08%,"3,466",ROSSIYA AIRLINES,FV
21,-5.75%,0.67%,"3,492",0.08%,"3,291",BELAVIA AIRLINE,B2
22,,,,0.06%,"2,707",AZIMUTH AIRLINES,A4
