,'',Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,,2021,2022,,,,
1,,"""",,"""",,,
2,,22.51%,"25,201",20.71%,"232,229",EL AL ISRAEL AIRLINES,LY
3,,0.70%,791,11.15%,"125,106",RYANAIR,FR
4,,8.74%,"9,793",7.32%,"82,150",TURKISH AIRLINES,TK
5,,6.28%,"7,037",5.63%,"63,171",PEGASUS AIRLINES,PC
6,,0.67%,754,5.43%,"60,888",EASYJET,EZY
7,,11.36%,"12,727",4.82%,"54,107",UNITED AIRLINES,UA
8,,9.96%,"11,156",3.93%,"44,143",ISRAIR AIRLINES,6H
9,,4.06%,"4,549",3.80%,"42,706",LUFTHANSA,LH
10,,0.55%,623,3.76%,"42,162",WIZZAIR,W6
11,,4.41%,"4,947",3.32%,"37,307",FLYDUBAI,FZ
12,,,,2.42%,"27,161",AMERICAN AIRLINES,AA
13,,3.57%,"4,007",2.41%,"27,100",UKRAINE INTL  AIR,PS
14,,4.87%,"5,463",1.99%,"22,415",DELTA AIRLINES,DL
15,,1.72%,"1,931",1.81%,"20,383",TRANSAVIA FRANCE,TO
16,,2.19%,"2,455",1.58%,"17,738",AIR FRANCE,AF
17,,1.63%,"1,829",1.55%,"17,410","AEROFLOT RUSSIANAIRLINES",SU
18,,0.55%,617,1.49%,"16,811",SWISS INT`L  AIRLINES,LX
19,,1.88%,"2,115",1.47%,"16,530",ARKIA  ISRAELI  AIRLINES,IZ
20,,0.58%,655,1.22%,"13,789",K.L.M.,KL
21,,,,1.02%,"11,456",IBERIA,IB
22,,1.00%,"1,127",0.94%,"10,558",AEGEAN  AIRLINES,A3
