,'',Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,2021,2022,,,,,
1,,"""",,"""",,,,
2,,,,0.20%,"2,317","ITALIA TRASPORTOAEREO",,AZ
3,,,,0.18%,"2,123",CORONDON AIRLINES,,XC
4,,,,0.16%,"1,886",UZBEKISTAN AIR,,HY
5,,,,0.15%,"1,764",GULF AIR - BAHREIN,,GF
6,,,,0.15%,"1,701",AZERBAIJAN AIRLINES,,J2
7,,,,0.12%,"1,371",ROSSIYA AIRLINES,,FV
8,,,,0.11%,"1,266",FINNAIR,,AY
9,,,,0.10%,"1,215",FLYONE,,5F
10,,,,0.10%,"1,205",AIR PORTUGAL,,TP
11,,0.16%,187,0.10%,"1,130",AIR SEYCHELLES,,HM
12,,,,0.09%,"1,053",FREEBIRD AIRLINES,,FH
13,,,,0.07%,833,NORD WIND,,N4
14,7.78%,0.61%,694,0.06%,748,TAILWIND AIRLINES,,TWI
15,,,,0.02%,334,VUELING AIRLINES S.A.,,VY
16,,,,0.02%,318,BLUE BIRD AIRWAYS,,BZ
17,169.15%,0.09%,107,0.02%,288,AERO HANDLING,,AHS
18,,,,0.02%,271,AIR BALTIC,,BT
19,70.08%,0.10%,117,0.01%,199,USA AIR FORCE,,USF
20,,,,,110,"WIND ROSE AVIATION Co.Lt",,7W
21,,0.01%,16,,100,CZECH A/F,,CEF
22,-13.71%,3.30%,"3,703",0.28%,"3,195",,,
