,'',Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,,2021,2022,,,,
1,,"""",,"""",,,
2,,23.15%,"56,792",22.35%,"522,179",EL AL ISRAEL AIRLINES,LY
3,,0.45%,"1,109",10.81%,"252,758",RYANAIR,FR
4,,7.26%,"17,823",7.12%,"166,446",TURKISH AIRLINES,TK
5,,0.84%,"2,076",5.76%,"134,616",EASYJET,EZY
6,,5.04%,"12,375",5.19%,"121,366",PEGASUS AIRLINES,PC
7,,11.55%,"28,332",4.42%,"103,450",UNITED AIRLINES,UA
8,,0.62%,"1,534",4.00%,"93,656",WIZZAIR,W6
9,,8.81%,"21,622",3.97%,"92,810",ISRAIR AIRLINES,6H
10,,5.07%,"12,442",3.71%,"86,709",LUFTHANSA,LH
11,,2.88%,"7,088",2.86%,"66,928",FLYDUBAI,FZ
12,,3.98%,"9,770",2.17%,"50,880",ARKIA  ISRAELI  AIRLINES,IZ
13,,,,2.05%,"47,940",AMERICAN AIRLINES,AA
14,,1.03%,"2,547",1.99%,"46,561",TRANSAVIA FRANCE,TO
15,184.89%,5.42%,"13,316",1.62%,"37,936",DELTA AIRLINES,DL
16,,0.50%,"1,248",1.47%,"34,389",SWISS INT`L  AIRLINES,LX
17,,2.68%,"6,594",1.46%,"34,150",AIR FRANCE,AF
18,127.80%,4.85%,"11,896",1.16%,"27,100",UKRAINE INTL  AIR,PS
19,,0.58%,"1,437",1.02%,"24,024",K.L.M.,KL
20,,0.51%,"1,258",1.00%,"23,584",AEGEAN  AIRLINES,A3
21,,0.07%,185,0.98%,"23,112",IBERIA,IB
22,,0.39%,964,0.91%,"21,490",BRITISH AIRWAYS PLC,BA
