,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,,"""",,"""",,
1,,0.66%,"1,794",0.82%,"12,898",CANADA
2,162.08%,1.80%,"4,914",0.82%,"12,879",ETHIOPIA
3,40.36%,3.10%,"8,426",0.75%,"11,827",RUSSIAN FEDERATION
4,,0.01%,42,0.75%,"11,757",MOROCCO
5,,0.44%,"1,202",0.71%,"11,125",THAILAND
6,,0.29%,812,0.49%,"7,782",JORDAN
7,160.89%,0.76%,"2,069",0.34%,"5,398",MOLDOVA
8,,,26,0.33%,"5,262",LITHUANIA
9,-23.53%,2.14%,"5,838",0.28%,"4,464",SEYCHELLES
10,,0.40%,"1,092",0.26%,"4,142",INDIA
11,,,10,0.22%,"3,514",TANZANIA
12,,,,0.19%,"3,081",FINLAND
13,,0.06%,169,0.19%,"3,073",MONTENEGRO
14,,,7,0.18%,"2,909",AZERBAIJAN
15,,0.09%,259,0.17%,"2,765",LATVIA
16,,,6,0.17%,"2,706",DENMARK
17,,,6,0.14%,"2,227",SWEDEN
18,,0.05%,141,0.14%,"2,201",UZBEKISTAN
19,,,25,0.10%,"1,694",MALTA
20,,,,0.10%,"1,689",SOUTH AFRICA
21,,0.01%,37,0.10%,"1,673",BAHRAIN
22,,,1,0.09%,"1,404",CROATIA
